episode,basis,layer,rank,candidate_dim,r_eff_T_task,r_eff_T_task_strict,op_excess_over_krr_risk,op_signal_error,model_excess_over_krr_risk,model_signal_error,E_F_T,F_T_excess_over_krr_risk
0,response,0,0,16,21,35,3.2204551332632128,0.9999999999999357,3.760086842653245,1.0805386633338723,0.10876004381535136,0.047237181670663514
0,response,0,1,16,21,35,2.416621242915211,0.8662548274691201,2.6699062348578577,0.9105197663007968,0.10876004381535136,0.047237181670663514
0,response,0,2,16,21,35,1.9352988154561839,0.775202900284711,2.5075928533880294,0.8824089110568977,0.10876004381535136,0.047237181670663514
0,response,0,3,16,21,35,1.5194248493554359,0.686880181466504,1.7834436123968405,0.7441681265565022,0.10876004381535136,0.047237181670663514
0,response,0,4,16,21,35,1.128214544122897,0.5918848454675051,0.9871078284570236,0.5536351705582805,0.10876004381535136,0.047237181670663514
0,response,0,5,16,21,35,0.8017917939639256,0.4989674058395741,0.7175683851081976,0.47203371754636786,0.10876004381535136,0.047237181670663514
0,response,0,6,16,21,35,0.5848701914128491,0.42615846285460396,0.5362070282272768,0.40804459032095547,0.10876004381535136,0.047237181670663514
0,response,0,7,16,21,35,0.5562427348386627,0.4155980960703065,0.5275535691654207,0.4047386290482578,0.10876004381535136,0.047237181670663514
0,response,0,8,16,21,35,0.5313562854801789,0.40619473007697654,0.5133642565545736,0.3992585149866754,0.10876004381535136,0.047237181670663514
0,response,0,9,16,21,35,0.5092745313457652,0.39766498499469044,0.4917435752991999,0.3907605576775985,0.10876004381535136,0.047237181670663514
0,response,0,10,16,21,35,0.49132536665319165,0.39059435906088885,0.4720406137811077,0.38285212034251226,0.10876004381535136,0.047237181670663514
0,response,0,11,16,21,35,0.47778680352488445,0.3851753170010928,0.45628162377026366,0.376407148492115,0.10876004381535136,0.047237181670663514
0,response,0,12,16,21,35,0.4659433378203257,0.38037146277966827,0.4518073294911424,0.3745570789984655,0.10876004381535136,0.047237181670663514
0,response,0,13,16,21,35,0.4577826575557046,0.3770257751352123,0.4421723993077639,0.3705417843673766,0.10876004381535136,0.047237181670663514
0,response,0,14,16,21,35,0.45176282588985633,0.37453863136789645,0.441886023918585,0.37042177321926534,0.10876004381535136,0.047237181670663514
0,response,0,15,16,21,35,0.44722996584066965,0.3726548870227466,0.4293674600691767,0.365137079418465,0.10876004381535136,0.047237181670663514
0,response,0,16,16,21,35,0.4439057860110171,0.3712673655679711,0.430338746539256,0.36554984051068884,0.10876004381535136,0.047237181670663514
