episode,probe_kind,basis,rank,is_selected_rank,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res,rho_operator_to_T
0,isotropic,raw,0,0,0.008509888746080706,0.9999999999998911,0.9941112725359517,0.3103609060308625,1.0710326869874085,0.9999999999999793,1.0710326869874085,0.9999999999999793,0.9999999999990662,0.9999999999989999,1.8676171720244383e-12,2.000177801164682e-12,-0.957387738730705,484.8505348546102
0,isotropic,raw,1,0,0.008509888746080706,0.9523405415474137,0.9481153886037567,0.3103609060308625,1.1474657397078913,0.9912894466775736,1.0710326869874085,0.9999999999999793,1.0713638842661297,0.9912894466766027,-0.14782057250980896,0.017345232907594932,-0.9683803464711117,413.4397250627731
0,isotropic,raw,2,0,0.008509888746080706,0.33969429452602756,0.33935830963704966,0.3103609060308625,1.0350414850894714,0.8648939630898502,1.0710326869874085,0.9999999999999793,0.9663957950712603,0.8648939630890031,0.06607916726858676,0.2519584326121981,-0.962369510972838,328.4435590308499
0,isotropic,raw,3,0,0.008509888746080706,0.29419114359862525,0.29294121818617774,0.3103609060308625,0.9911444903974441,0.8091533631184461,1.0710326869874085,0.9999999999999793,0.9254101228081109,0.8091533631176536,0.1436161046042772,0.34527083495539057,-0.9605959630051202,306.7862480329942
0,isotropic,raw,4,0,0.008509888746080706,0.1038394369739613,0.10489145982661877,0.3103609060308625,0.9322939147867028,0.7437214287633255,1.0710326869874085,0.9999999999999793,0.8704626162327319,0.7437214287625971,0.2422948337412677,0.44687843639932123,-0.9561817098243864,263.5007449202984
0,isotropic,raw,5,0,0.008509888746080706,0.01608338610398036,0.02354738313911345,0.3103609060308625,0.6754922041903979,0.44444221610881424,1.0710326869874085,0.9999999999999793,0.6306924264746633,0.4444422161083789,0.6022270631875015,0.802471116540673,-0.9284854639665406,0.2567160197081315
0,isotropic,raw,6,1,0.008509888746080706,0.0036522821834902484,0.01173794347675546,0.3103609060308625,0.3008848972859629,0.044147546633628,1.0710326869874085,0.9999999999999793,0.2809297054527891,0.04414754663358476,0.9210785005942091,0.9980509941262354,0.14466119165199018,0.0018356770883213268
0,isotropic,raw,7,0,0.008509888746080706,0.00014222328378851146,0.008452249068979715,0.3103609060308625,0.3023931444519455,0.03882866480211789,1.0710326869874085,0.9999999999999793,0.2823379231330763,0.03882866480207986,0.9202852971609011,0.9984923347896877,0.14370423858506218,0.001397786950966178
0,isotropic,raw,8,0,0.008509888746080706,0.00014188678388488176,0.008447433169934158,0.3103609060308625,0.30225510342656214,0.03485300806138007,1.0710326869874085,0.9999999999999793,0.2822090372203863,0.03485300806134593,0.9203580593111426,0.9987852678290757,0.17803466856214561,0.0012514546339938237
0,isotropic,raw,9,0,0.008509888746080706,0.0001642243203747698,0.008446091914890078,0.3103609060308625,0.3034983147465891,0.032462903010862285,1.0710326869874085,0.9999999999999793,0.2833697966772454,0.03246290301083049,0.9197015583310966,0.9989461599281094,0.1603067887154472,0.001209846568098108
